RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Sep 15 23:55:57 2019
elapsed time: 5.7e-08s
Source: Wf:00:00:00:00:00 | Message ID: 1 | Time generated: 0.100000 | Time sentFromSrc: 1.156800 | Time sentFromNeigh: 1.156800 | Time received: 1.156853 |End 
Source: Wf:00:00:00:00:01 | Message ID: 5 | Time generated: 4.100000 | Time sentFromSrc: 4.470640 | Time sentFromNeigh: 4.470640 | Time received: 4.470695 |End 
Source: Wf:00:00:00:00:03 | Message ID: 5 | Time generated: 4.100000 | Time sentFromSrc: 4.470678 | Time sentFromNeigh: 4.470678 | Time received: 4.470734 |End 
Source: Wf:00:00:00:00:01 | Message ID: 5 | Time generated: 4.100000 | Time sentFromSrc: 4.456800 | Time sentFromNeigh: 5.006800 | Time received: 5.006858 |End 
Source: Wf:00:00:00:00:03 | Message ID: 5 | Time generated: 4.100000 | Time sentFromSrc: 4.456838 | Time sentFromNeigh: 5.020640 | Time received: 5.020698 |End 
Source: Wf:00:00:00:00:00 | Message ID: 6 | Time generated: 5.100000 | Time sentFromSrc: 5.556800 | Time sentFromNeigh: 5.556800 | Time received: 5.556859 |End 
Source: Wf:00:00:00:00:01 | Message ID: 6 | Time generated: 5.100000 | Time sentFromSrc: 5.570640 | Time sentFromNeigh: 5.570640 | Time received: 5.570695 |End 
Source: Wf:00:00:00:00:03 | Message ID: 6 | Time generated: 5.100000 | Time sentFromSrc: 5.570679 | Time sentFromNeigh: 5.570679 | Time received: 5.570734 |End 
Source: Wf:00:00:00:00:01 | Message ID: 6 | Time generated: 5.100000 | Time sentFromSrc: 5.556800 | Time sentFromNeigh: 6.106800 | Time received: 6.106861 |End 
Source: Wf:00:00:00:00:03 | Message ID: 6 | Time generated: 5.100000 | Time sentFromSrc: 5.556839 | Time sentFromNeigh: 6.120640 | Time received: 6.120701 |End 
Source: Wf:00:00:00:00:00 | Message ID: 7 | Time generated: 6.100000 | Time sentFromSrc: 6.656800 | Time sentFromNeigh: 6.656800 | Time received: 6.656863 |End 
Source: Wf:00:00:00:00:01 | Message ID: 7 | Time generated: 6.100000 | Time sentFromSrc: 6.670640 | Time sentFromNeigh: 6.670640 | Time received: 6.670695 |End 
Source: Wf:00:00:00:00:03 | Message ID: 7 | Time generated: 6.100000 | Time sentFromSrc: 6.670679 | Time sentFromNeigh: 6.670679 | Time received: 6.670734 |End 
Source: Wf:00:00:00:00:01 | Message ID: 7 | Time generated: 6.100000 | Time sentFromSrc: 6.656800 | Time sentFromNeigh: 7.206800 | Time received: 7.206865 |End 
Source: Wf:00:00:00:00:01 | Message ID: 8 | Time generated: 7.100000 | Time sentFromSrc: 7.220640 | Time sentFromNeigh: 7.220640 | Time received: 7.220695 |End 
Source: Wf:00:00:00:00:03 | Message ID: 7 | Time generated: 6.100000 | Time sentFromSrc: 6.656839 | Time sentFromNeigh: 7.220640 | Time received: 7.220705 |End 
Source: Wf:00:00:00:00:03 | Message ID: 8 | Time generated: 7.100000 | Time sentFromSrc: 7.220679 | Time sentFromNeigh: 7.220679 | Time received: 7.220734 |End 
Source: Wf:00:00:00:00:00 | Message ID: 8 | Time generated: 7.100000 | Time sentFromSrc: 7.234480 | Time sentFromNeigh: 7.234480 | Time received: 7.234545 |End 
Source: Wf:00:00:00:00:01 | Message ID: 8 | Time generated: 7.100000 | Time sentFromSrc: 7.206800 | Time sentFromNeigh: 7.756800 | Time received: 7.756868 |End 
Source: Wf:00:00:00:00:03 | Message ID: 8 | Time generated: 7.100000 | Time sentFromSrc: 7.206839 | Time sentFromNeigh: 7.770640 | Time received: 7.770708 |End 
Source: Wf:00:00:00:00:01 | Message ID: 9 | Time generated: 8.100000 | Time sentFromSrc: 8.306800 | Time sentFromNeigh: 8.306800 | Time received: 8.306855 |End 
Source: Wf:00:00:00:00:00 | Message ID: 9 | Time generated: 8.100000 | Time sentFromSrc: 8.306800 | Time sentFromNeigh: 8.306800 | Time received: 8.306871 |End 
Source: Wf:00:00:00:00:03 | Message ID: 9 | Time generated: 8.100000 | Time sentFromSrc: 8.320679 | Time sentFromNeigh: 8.320679 | Time received: 8.320734 |End 
Source: Wf:00:00:00:00:03 | Message ID: 9 | Time generated: 8.100000 | Time sentFromSrc: 8.306839 | Time sentFromNeigh: 8.856800 | Time received: 8.856874 |End 
Source: Wf:00:00:00:00:01 | Message ID: 9 | Time generated: 8.100000 | Time sentFromSrc: 8.320640 | Time sentFromNeigh: 8.870640 | Time received: 8.870714 |End 
Source: Wf:00:00:00:00:01 | Message ID: 10 | Time generated: 9.100000 | Time sentFromSrc: 9.406800 | Time sentFromNeigh: 9.406800 | Time received: 9.406855 |End 
Source: Wf:00:00:00:00:00 | Message ID: 10 | Time generated: 9.100000 | Time sentFromSrc: 9.406800 | Time sentFromNeigh: 9.406800 | Time received: 9.406877 |End 
Source: Wf:00:00:00:00:03 | Message ID: 10 | Time generated: 9.100000 | Time sentFromSrc: 9.420679 | Time sentFromNeigh: 9.420679 | Time received: 9.420734 |End 
Source: Wf:00:00:00:00:03 | Message ID: 10 | Time generated: 9.100000 | Time sentFromSrc: 9.406839 | Time sentFromNeigh: 9.956800 | Time received: 9.956881 |End 
Source: Wf:00:00:00:00:01 | Message ID: 10 | Time generated: 9.100000 | Time sentFromSrc: 9.420640 | Time sentFromNeigh: 9.970640 | Time received: 9.970721 |End 
Source: Wf:00:00:00:00:01 | Message ID: 11 | Time generated: 10.100000 | Time sentFromSrc: 10.506800 | Time sentFromNeigh: 10.506800 | Time received: 10.506855 |End 
Source: Wf:00:00:00:00:00 | Message ID: 11 | Time generated: 10.100000 | Time sentFromSrc: 10.506800 | Time sentFromNeigh: 10.506800 | Time received: 10.506885 |End 
Source: Wf:00:00:00:00:03 | Message ID: 11 | Time generated: 10.100000 | Time sentFromSrc: 10.506839 | Time sentFromNeigh: 10.506839 | Time received: 10.506894 |End 
Source: Wf:00:00:00:00:01 | Message ID: 11 | Time generated: 10.100000 | Time sentFromSrc: 10.520640 | Time sentFromNeigh: 11.056800 | Time received: 11.056890 |End 
Source: Wf:00:00:00:00:00 | Message ID: 12 | Time generated: 11.100000 | Time sentFromSrc: 11.602192 | Time sentFromNeigh: 11.602192 | Time received: 11.602287 |End 
Source: Wf:00:00:00:00:01 | Message ID: 12 | Time generated: 11.100000 | Time sentFromSrc: 11.606800 | Time sentFromNeigh: 11.606800 | Time received: 11.606855 |End 
Source: Wf:00:00:00:00:03 | Message ID: 12 | Time generated: 11.100000 | Time sentFromSrc: 11.606839 | Time sentFromNeigh: 11.606839 | Time received: 11.606894 |End 
Source: Wf:00:00:00:00:03 | Message ID: 13 | Time generated: 12.100000 | Time sentFromSrc: 12.156800 | Time sentFromNeigh: 12.156800 | Time received: 12.156855 |End 
Source: Wf:00:00:00:00:01 | Message ID: 13 | Time generated: 12.100000 | Time sentFromSrc: 12.170640 | Time sentFromNeigh: 12.170640 | Time received: 12.170695 |End 
Source: Wf:00:00:00:00:00 | Message ID: 13 | Time generated: 12.100000 | Time sentFromSrc: 12.828272 | Time sentFromNeigh: 12.828272 | Time received: 12.828381 |End 
Source: Wf:00:00:00:00:01 | Message ID: 14 | Time generated: 13.100000 | Time sentFromSrc: 13.256800 | Time sentFromNeigh: 13.256800 | Time received: 13.256855 |End 
Source: Wf:00:00:00:00:03 | Message ID: 14 | Time generated: 13.100000 | Time sentFromSrc: 13.256800 | Time sentFromNeigh: 13.256800 | Time received: 13.256855 |End 
Source: Wf:00:00:00:00:01 | Message ID: 13 | Time generated: 12.100000 | Time sentFromSrc: 12.156800 | Time sentFromNeigh: 13.378279 | Time received: 13.378395 |End 
Source: Wf:00:00:00:00:00 | Message ID: 14 | Time generated: 13.100000 | Time sentFromSrc: 13.392119 | Time sentFromNeigh: 13.392119 | Time received: 13.392235 |End 
Source: Wf:00:00:00:00:03 | Message ID: 15 | Time generated: 14.100000 | Time sentFromSrc: 14.352199 | Time sentFromNeigh: 14.352199 | Time received: 14.352254 |End 
Source: Wf:00:00:00:00:01 | Message ID: 15 | Time generated: 14.100000 | Time sentFromSrc: 14.356800 | Time sentFromNeigh: 14.356800 | Time received: 14.356855 |End 
Source: Wf:00:00:00:00:03 | Message ID: 16 | Time generated: 15.100000 | Time sentFromSrc: 15.442537 | Time sentFromNeigh: 15.442537 | Time received: 15.442593 |End 
Source: Wf:00:00:00:00:01 | Message ID: 16 | Time generated: 15.100000 | Time sentFromSrc: 15.456800 | Time sentFromNeigh: 15.456800 | Time received: 15.456855 |End 
Source: Wf:00:00:00:00:00 | Message ID: 15 | Time generated: 14.100000 | Time sentFromSrc: 15.528313 | Time sentFromNeigh: 15.528313 | Time received: 15.528462 |End 
Source: Wf:00:00:00:00:00 | Message ID: 16 | Time generated: 15.100000 | Time sentFromSrc: 15.542153 | Time sentFromNeigh: 15.542153 | Time received: 15.542302 |End 
Source: Wf:00:00:00:00:03 | Message ID: 17 | Time generated: 16.100000 | Time sentFromSrc: 16.542537 | Time sentFromNeigh: 16.542537 | Time received: 16.542593 |End 
Source: Wf:00:00:00:00:01 | Message ID: 17 | Time generated: 16.100000 | Time sentFromSrc: 16.556800 | Time sentFromNeigh: 16.556800 | Time received: 16.556855 |End 
Source: Wf:00:00:00:00:00 | Message ID: 17 | Time generated: 16.100000 | Time sentFromSrc: 16.628335 | Time sentFromNeigh: 16.628335 | Time received: 16.628504 |End 
Source: Wf:00:00:00:00:00 | Message ID: 18 | Time generated: 17.100000 | Time sentFromSrc: 17.178346 | Time sentFromNeigh: 17.178346 | Time received: 17.178527 |End 
Source: Wf:00:00:00:00:03 | Message ID: 18 | Time generated: 17.100000 | Time sentFromSrc: 17.642537 | Time sentFromNeigh: 17.642537 | Time received: 17.642593 |End 
Source: Wf:00:00:00:00:01 | Message ID: 18 | Time generated: 17.100000 | Time sentFromSrc: 17.656800 | Time sentFromNeigh: 17.656800 | Time received: 17.656855 |End 
Source: Wf:00:00:00:00:03 | Message ID: 19 | Time generated: 18.100000 | Time sentFromSrc: 18.192537 | Time sentFromNeigh: 18.192537 | Time received: 18.192593 |End 
Source: Wf:00:00:00:00:01 | Message ID: 19 | Time generated: 18.100000 | Time sentFromSrc: 18.206800 | Time sentFromNeigh: 18.206800 | Time received: 18.206855 |End 
Source: Wf:00:00:00:00:00 | Message ID: 18 | Time generated: 17.100000 | Time sentFromSrc: 18.278370 | Time sentFromNeigh: 18.278370 | Time received: 18.278574 |End 
Source: Wf:00:00:00:00:00 | Message ID: 19 | Time generated: 18.100000 | Time sentFromSrc: 18.292210 | Time sentFromNeigh: 18.292210 | Time received: 18.292414 |End 
Source: Wf:00:00:00:00:03 | Message ID: 20 | Time generated: 19.100000 | Time sentFromSrc: 19.292519 | Time sentFromNeigh: 19.292519 | Time received: 19.292574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 20 | Time generated: 19.100000 | Time sentFromSrc: 19.297120 | Time sentFromNeigh: 19.297120 | Time received: 19.297175 |End 
Source: Wf:00:00:00:00:00 | Message ID: 20 | Time generated: 19.100000 | Time sentFromSrc: 19.878406 | Time sentFromNeigh: 19.878406 | Time received: 19.878643 |End 
Source: Wf:00:00:00:00:03 | Message ID: 21 | Time generated: 20.100000 | Time sentFromSrc: 20.392519 | Time sentFromNeigh: 20.392519 | Time received: 20.392574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 21 | Time generated: 20.100000 | Time sentFromSrc: 20.397120 | Time sentFromNeigh: 20.397120 | Time received: 20.397175 |End 
Source: Wf:00:00:00:00:03 | Message ID: 22 | Time generated: 21.100000 | Time sentFromSrc: 21.492519 | Time sentFromNeigh: 21.492519 | Time received: 21.492574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 22 | Time generated: 21.100000 | Time sentFromSrc: 21.497120 | Time sentFromNeigh: 21.497120 | Time received: 21.497175 |End 
Source: Wf:00:00:00:00:00 | Message ID: 21 | Time generated: 20.100000 | Time sentFromSrc: 22.042572 | Time sentFromNeigh: 22.042572 | Time received: 22.042845 |End 
Source: Wf:00:00:00:00:01 | Message ID: 23 | Time generated: 22.100000 | Time sentFromSrc: 22.592480 | Time sentFromNeigh: 22.592480 | Time received: 22.592535 |End 
Source: Wf:00:00:00:00:00 | Message ID: 21 | Time generated: 20.100000 | Time sentFromSrc: 22.592574 | Time sentFromNeigh: 22.592574 | Time received: 22.592853 |End 
Source: Wf:00:00:00:00:03 | Message ID: 23 | Time generated: 22.100000 | Time sentFromSrc: 22.597139 | Time sentFromNeigh: 22.597139 | Time received: 22.597194 |End 
Source: Wf:00:00:00:00:00 | Message ID: 22 | Time generated: 21.100000 | Time sentFromSrc: 22.606414 | Time sentFromNeigh: 22.606414 | Time received: 22.606694 |End 
Source: Wf:00:00:00:00:00 | Message ID: 23 | Time generated: 22.100000 | Time sentFromSrc: 22.620254 | Time sentFromNeigh: 22.620254 | Time received: 22.620534 |End 
Source: Wf:00:00:00:00:01 | Message ID: 24 | Time generated: 23.100000 | Time sentFromSrc: 23.142480 | Time sentFromNeigh: 23.142480 | Time received: 23.142535 |End 
Source: Wf:00:00:00:00:03 | Message ID: 24 | Time generated: 23.100000 | Time sentFromSrc: 23.152160 | Time sentFromNeigh: 23.152160 | Time received: 23.152215 |End 
Source: Wf:00:00:00:00:01 | Message ID: 25 | Time generated: 24.100000 | Time sentFromSrc: 24.242480 | Time sentFromNeigh: 24.242480 | Time received: 24.242534 |End 
Source: Wf:00:00:00:00:03 | Message ID: 25 | Time generated: 24.100000 | Time sentFromSrc: 24.242519 | Time sentFromNeigh: 24.242519 | Time received: 24.242574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 26 | Time generated: 25.100000 | Time sentFromSrc: 25.342480 | Time sentFromNeigh: 25.342480 | Time received: 25.342534 |End 
Source: Wf:00:00:00:00:03 | Message ID: 26 | Time generated: 25.100000 | Time sentFromSrc: 25.342519 | Time sentFromNeigh: 25.342519 | Time received: 25.342574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 27 | Time generated: 26.100000 | Time sentFromSrc: 26.442480 | Time sentFromNeigh: 26.442480 | Time received: 26.442533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 27 | Time generated: 26.100000 | Time sentFromSrc: 26.442519 | Time sentFromNeigh: 26.442519 | Time received: 26.442574 |End 
Source: Wf:00:00:00:00:00 | Message ID: 25 | Time generated: 24.100000 | Time sentFromSrc: 27.192300 | Time sentFromNeigh: 27.192300 | Time received: 27.192589 |End 
Source: Wf:00:00:00:00:00 | Message ID: 27 | Time generated: 26.100000 | Time sentFromSrc: 27.219980 | Time sentFromNeigh: 27.219980 | Time received: 27.220269 |End 
Source: Wf:00:00:00:00:00 | Message ID: 28 | Time generated: 27.100000 | Time sentFromSrc: 27.233820 | Time sentFromNeigh: 27.233820 | Time received: 27.234109 |End 
Source: Wf:00:00:00:00:01 | Message ID: 28 | Time generated: 27.100000 | Time sentFromSrc: 27.542480 | Time sentFromNeigh: 27.542480 | Time received: 27.542533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 28 | Time generated: 27.100000 | Time sentFromSrc: 27.542519 | Time sentFromNeigh: 27.542519 | Time received: 27.542574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 29 | Time generated: 28.100000 | Time sentFromSrc: 28.642480 | Time sentFromNeigh: 28.642480 | Time received: 28.642533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 29 | Time generated: 28.100000 | Time sentFromSrc: 28.642519 | Time sentFromNeigh: 28.642519 | Time received: 28.642574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 30 | Time generated: 29.100000 | Time sentFromSrc: 29.192480 | Time sentFromNeigh: 29.192480 | Time received: 29.192533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 30 | Time generated: 29.100000 | Time sentFromSrc: 29.192519 | Time sentFromNeigh: 29.192519 | Time received: 29.192574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 31 | Time generated: 30.100000 | Time sentFromSrc: 30.292480 | Time sentFromNeigh: 30.292480 | Time received: 30.292533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 31 | Time generated: 30.100000 | Time sentFromSrc: 30.292519 | Time sentFromNeigh: 30.292519 | Time received: 30.292574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 32 | Time generated: 31.100000 | Time sentFromSrc: 31.392480 | Time sentFromNeigh: 31.392480 | Time received: 31.392533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 32 | Time generated: 31.100000 | Time sentFromSrc: 31.392519 | Time sentFromNeigh: 31.392519 | Time received: 31.392574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 33 | Time generated: 32.100000 | Time sentFromSrc: 32.492480 | Time sentFromNeigh: 32.492480 | Time received: 32.492533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 33 | Time generated: 32.100000 | Time sentFromSrc: 32.492519 | Time sentFromNeigh: 32.492519 | Time received: 32.492574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 34 | Time generated: 33.100000 | Time sentFromSrc: 33.592480 | Time sentFromNeigh: 33.592480 | Time received: 33.592533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 34 | Time generated: 33.100000 | Time sentFromSrc: 33.592519 | Time sentFromNeigh: 33.592519 | Time received: 33.592574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 35 | Time generated: 34.100000 | Time sentFromSrc: 34.142480 | Time sentFromNeigh: 34.142480 | Time received: 34.142533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 35 | Time generated: 34.100000 | Time sentFromSrc: 34.142519 | Time sentFromNeigh: 34.142519 | Time received: 34.142574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 36 | Time generated: 35.100000 | Time sentFromSrc: 35.242480 | Time sentFromNeigh: 35.242480 | Time received: 35.242533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 36 | Time generated: 35.100000 | Time sentFromSrc: 35.242519 | Time sentFromNeigh: 35.242519 | Time received: 35.242574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 37 | Time generated: 36.100000 | Time sentFromSrc: 36.342480 | Time sentFromNeigh: 36.342480 | Time received: 36.342533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 37 | Time generated: 36.100000 | Time sentFromSrc: 36.342519 | Time sentFromNeigh: 36.342519 | Time received: 36.342574 |End 
Source: Wf:00:00:00:00:01 | Message ID: 38 | Time generated: 37.100000 | Time sentFromSrc: 37.442480 | Time sentFromNeigh: 37.442480 | Time received: 37.442533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 38 | Time generated: 37.100000 | Time sentFromSrc: 37.442517 | Time sentFromNeigh: 37.442517 | Time received: 37.442571 |End 
Source: Wf:00:00:00:00:01 | Message ID: 39 | Time generated: 38.100000 | Time sentFromSrc: 38.542480 | Time sentFromNeigh: 38.542480 | Time received: 38.542533 |End 
Source: Wf:00:00:00:00:03 | Message ID: 39 | Time generated: 38.100000 | Time sentFromSrc: 38.542517 | Time sentFromNeigh: 38.542517 | Time received: 38.542580 |End 
Source: Wf:00:00:00:00:01 | Message ID: 40 | Time generated: 39.100000 | Time sentFromSrc: 39.642480 | Time sentFromNeigh: 39.642480 | Time received: 39.642534 |End 
Source: Wf:00:00:00:00:03 | Message ID: 40 | Time generated: 39.100000 | Time sentFromSrc: 39.642524 | Time sentFromNeigh: 39.642524 | Time received: 39.642611 |End 
Source: Wf:00:00:00:00:01 | Message ID: 41 | Time generated: 40.100000 | Time sentFromSrc: 40.192480 | Time sentFromNeigh: 40.192480 | Time received: 40.192534 |End 
Source: Wf:00:00:00:00:03 | Message ID: 41 | Time generated: 40.100000 | Time sentFromSrc: 40.192531 | Time sentFromNeigh: 40.192531 | Time received: 40.192640 |End 
Source: Wf:00:00:00:00:01 | Message ID: 42 | Time generated: 41.100000 | Time sentFromSrc: 41.287858 | Time sentFromNeigh: 41.287858 | Time received: 41.287914 |End 
Source: Wf:00:00:00:00:03 | Message ID: 42 | Time generated: 41.100000 | Time sentFromSrc: 41.292561 | Time sentFromNeigh: 41.292561 | Time received: 41.292740 |End 
Source: Wf:00:00:00:00:01 | Message ID: 43 | Time generated: 42.100000 | Time sentFromSrc: 42.382839 | Time sentFromNeigh: 42.382839 | Time received: 42.382895 |End 
Source: Wf:00:00:00:00:01 | Message ID: 44 | Time generated: 43.100000 | Time sentFromSrc: 43.482839 | Time sentFromNeigh: 43.482839 | Time received: 43.482895 |End 
Source: Wf:00:00:00:00:03 | Message ID: 43 | Time generated: 42.100000 | Time sentFromSrc: 43.488018 | Time sentFromNeigh: 43.488018 | Time received: 43.488189 |End 
Source: Wf:00:00:00:00:03 | Message ID: 44 | Time generated: 43.100000 | Time sentFromSrc: 43.501858 | Time sentFromNeigh: 43.501858 | Time received: 43.502029 |End 
Source: Wf:00:00:00:00:01 | Message ID: 45 | Time generated: 44.100000 | Time sentFromSrc: 44.582840 | Time sentFromNeigh: 44.582840 | Time received: 44.582896 |End 
Source: Wf:00:00:00:00:03 | Message ID: 45 | Time generated: 44.100000 | Time sentFromSrc: 44.588024 | Time sentFromNeigh: 44.588024 | Time received: 44.588203 |End 
Source: Wf:00:00:00:00:01 | Message ID: 46 | Time generated: 45.100000 | Time sentFromSrc: 45.132840 | Time sentFromNeigh: 45.132840 | Time received: 45.132897 |End 
Source: Wf:00:00:00:00:03 | Message ID: 46 | Time generated: 45.100000 | Time sentFromSrc: 45.138028 | Time sentFromNeigh: 45.138028 | Time received: 45.138210 |End 
Source: Wf:00:00:00:00:01 | Message ID: 47 | Time generated: 46.100000 | Time sentFromSrc: 46.232841 | Time sentFromNeigh: 46.232841 | Time received: 46.232900 |End 
Source: Wf:00:00:00:00:01 | Message ID: 48 | Time generated: 47.100000 | Time sentFromSrc: 47.332843 | Time sentFromNeigh: 47.332843 | Time received: 47.332904 |End 
Source: Wf:00:00:00:00:03 | Message ID: 47 | Time generated: 46.100000 | Time sentFromSrc: 48.328374 | Time sentFromNeigh: 48.328374 | Time received: 48.328581 |End 
Source: Wf:00:00:00:00:03 | Message ID: 48 | Time generated: 47.100000 | Time sentFromSrc: 48.342214 | Time sentFromNeigh: 48.342214 | Time received: 48.342421 |End 
Source: Wf:00:00:00:00:03 | Message ID: 49 | Time generated: 48.100000 | Time sentFromSrc: 48.356054 | Time sentFromNeigh: 48.356054 | Time received: 48.356261 |End 
Source: Wf:00:00:00:00:01 | Message ID: 49 | Time generated: 48.100000 | Time sentFromSrc: 48.432844 | Time sentFromNeigh: 48.432844 | Time received: 48.432908 |End 
Source: Wf:00:00:00:00:03 | Message ID: 49 | Time generated: 48.100000 | Time sentFromSrc: 48.878379 | Time sentFromNeigh: 48.878379 | Time received: 48.878591 |End 
Source: Wf:00:00:00:00:03 | Message ID: 50 | Time generated: 49.100000 | Time sentFromSrc: 49.428384 | Time sentFromNeigh: 49.428384 | Time received: 49.428601 |End 
Source: Wf:00:00:00:00:01 | Message ID: 50 | Time generated: 49.100000 | Time sentFromSrc: 49.532846 | Time sentFromNeigh: 49.532846 | Time received: 49.532912 |End 
Source: Wf:00:00:00:00:03 | Message ID: 51 | Time generated: 50.100000 | Time sentFromSrc: 50.528395 | Time sentFromNeigh: 50.528395 | Time received: 50.528623 |End 
Source: Wf:00:00:00:00:01 | Message ID: 51 | Time generated: 50.100000 | Time sentFromSrc: 50.632848 | Time sentFromNeigh: 50.632848 | Time received: 50.632917 |End 
Source: Wf:00:00:00:00:01 | Message ID: 52 | Time generated: 51.100000 | Time sentFromSrc: 51.182849 | Time sentFromNeigh: 51.182849 | Time received: 51.182920 |End 
Source: Wf:00:00:00:00:03 | Message ID: 51 | Time generated: 50.100000 | Time sentFromSrc: 51.628407 | Time sentFromNeigh: 51.628407 | Time received: 51.628645 |End 
Source: Wf:00:00:00:00:03 | Message ID: 52 | Time generated: 51.100000 | Time sentFromSrc: 51.642247 | Time sentFromNeigh: 51.642247 | Time received: 51.642486 |End 
Source: Wf:00:00:00:00:03 | Message ID: 53 | Time generated: 52.100000 | Time sentFromSrc: 52.178412 | Time sentFromNeigh: 52.178412 | Time received: 52.178657 |End 
Source: Wf:00:00:00:00:01 | Message ID: 53 | Time generated: 52.100000 | Time sentFromSrc: 52.282852 | Time sentFromNeigh: 52.282852 | Time received: 52.282926 |End 
Source: Wf:00:00:00:00:03 | Message ID: 54 | Time generated: 53.100000 | Time sentFromSrc: 53.278423 | Time sentFromNeigh: 53.278423 | Time received: 53.278678 |End 
Source: Wf:00:00:00:00:01 | Message ID: 54 | Time generated: 53.100000 | Time sentFromSrc: 53.382855 | Time sentFromNeigh: 53.382855 | Time received: 53.382933 |End 
Source: Wf:00:00:00:00:01 | Message ID: 55 | Time generated: 54.100000 | Time sentFromSrc: 54.482858 | Time sentFromNeigh: 54.482858 | Time received: 54.482941 |End 
Source: Wf:00:00:00:00:03 | Message ID: 55 | Time generated: 54.100000 | Time sentFromSrc: 54.878438 | Time sentFromNeigh: 54.878438 | Time received: 54.878706 |End 
